Survived,Pclass,Sex,Age,Parch
0,3,male,42,0
0,3,male,16,1
1,3,female,35,1
0,2,male,30,0
1,2,female,28,0
0,3,male,30,0
0,3,male,26,0
0,3,female,40,0
1,3,female,18,1
1,3,male,26,0
0,3,male,26,0
0,3,male,20,0
0,3,male,24,0
0,3,male,25,0
1,1,female,29,0
0,3,male,35,0
1,1,male,0.92,2
0,1,female,2,2
0,1,female,25,2
0,3,male,18,0
1,3,female,19,0
1,1,male,48,0
0,3,male,4,2
0,3,female,6,2
0,3,female,2,2
1,3,female,17,2
0,3,female,9,2
0,3,female,11,2
0,3,male,39,5
1,3,male,27,0
0,3,female,39,5
0,3,male,20,0
0,2,male,18,0
1,1,female,63,0
0,1,male,39,0
1,2,female,36,0
1,1,female,53,0
0,3,male,25,0
0,3,female,18,0
0,1,male,71,0
0,3,male,35,0
0,3,male,9,2
1,3,male,3,2
1,3,female,5,2
1,3,female,38,5
1,1,female,18,0
0,3,female,17,0
0,3,male,30,0
1,1,female,24,0
0,3,male,23,0
1,3,female,13,0
0,3,male,32,0
1,3,female,33,0
1,3,female,0.75,1
1,3,female,0.75,1
1,3,female,5,1
1,3,female,24,3
0,3,male,40,0
0,2,male,18,0
0,3,male,26,0
1,2,female,36,0
0,2,male,28,0
1,3,male,20,0
0,3,female,18,1
0,3,female,45,1
1,1,female,26,0
1,1,male,80,0
0,3,male,22,0
0,2,male,51,0
0,1,male,,0
0,1,male,24,1
1,1,female,50,1
1,1,female,32,0
1,2,male,32,0
1,2,female,19,0
0,3,male,19,0
1,2,male,1,1
1,2,female,4,1
1,1,male,37,1
1,1,female,47,1
1,2,male,34,0
1,1,male,26,0
0,3,male,26,0
0,3,male,22,0
0,2,male,23,0
0,3,male,20,0
1,1,female,42,0
1,3,male,32,0
0,3,male,21,0
1,1,male,25,0
1,1,female,19,0
1,1,female,35,0
1,1,male,28,0
0,1,male,45,0
1,1,male,40,0
1,1,female,58,0
0,3,male,26,0
0,3,female,9,1
0,3,male,,0
0,3,female,,2
0,3,female,,2
0,3,male,40,1
0,3,female,32,1
0,3,male,21,0
1,1,female,22,1
0,2,male,27,0
1,1,male,,0
0,3,male,29,0
0,3,male,22,0
0,1,male,,0
0,3,male,35,0
1,2,female,24,0
0,2,male,60,1
1,1,female,44,0
1,2,female,40,1
0,2,male,25,0
0,3,male,19,0
1,1,female,41,0
1,2,female,36,0
0,2,male,25,0
0,1,male,45,0
0,2,male,42,0
1,2,female,42,0
0,3,female,30,0
0,3,male,38,0
0,1,male,,0
1,1,male,42,0
1,2,male,0.83,2
1,2,female,22,1
0,3,male,17,0
0,3,male,17,0
1,2,female,35,0
0,2,male,,0
0,3,female,21,0
0,3,male,21,0
0,3,female,,0
0,2,male,19,0
1,1,male,36,1
0,3,male,28,0
0,1,male,33,0
1,3,female,16,0
0,1,male,28,0
1,1,male,11,2
1,1,female,14,2
1,1,male,36,2
0,2,female,44,0
1,1,female,36,2
0,2,male,54,0
0,1,male,36,0
0,3,male,24,0
0,1,male,46,0
1,1,male,27,0
1,1,female,33,0
0,2,male,52,0
0,2,male,37,0
0,3,male,21,0
1,1,female,30,0
1,1,female,,1
1,3,male,32,0
0,3,male,29,0
1,2,female,25,1
0,3,male,26,0
1,2,female,28,0
1,1,female,22,0
0,1,male,,0
0,3,male,20,0
1,3,male,18,0
0,3,male,36,0
0,3,male,24,0
0,2,male,29,0
0,2,male,28,0
0,1,male,47,0
1,2,female,8,2
0,2,male,31,1
1,2,female,31,1
1,1,female,39,1
0,3,male,31,0
1,3,female,22,0
0,3,male,70.5,0
0,3,male,43,0
0,3,male,19,0
0,3,male,30,0
1,3,male,9,1
1,3,male,3,1
0,3,male,59,0
0,3,male,19,0
0,3,male,44,1
0,1,male,70,1
1,1,female,36,2
0,3,male,17,0
1,1,female,38,0
0,2,male,,0
1,3,male,45,0
0,3,female,22,0
0,3,male,19,0
1,3,male,29,0
1,1,male,51,0
0,3,male,34,1
0,3,female,28,1
1,1,male,27,0
0,3,male,27,0
0,3,male,25,0
0,1,male,31,0
1,2,male,8,1
0,3,male,24,0
0,2,male,18,0
1,2,female,28,0
1,3,female,,0
1,3,female,36,0
1,3,male,30,0
0,3,male,16,0
1,3,male,1,2
0,3,male,26,2
0,2,male,29,0
