Tm,Cfperc,Ffperc,PDO,Foperc,,,,
LAK,0.548,0.547,1.001,0.504,NO,,Yes,LAK
NSH,0.521,0.534,0.996,0.491,NO,,Yes,NSH
ANA,0.525,0.53,0.999,0.516,NO,,Yes,ANA
SJS,0.51,0.529,1.001,0.504,NO,,Yes,SJS
PIT,0.525,0.525,1.004,0.505,NO,,Yes,PIT
DAL,0.521,0.522,1.003,0.503,NO,,Yes,DAL
CAR,0.529,0.519,0.984,0.537,NO,,No,
TOR,0.528,0.518,0.982,0.511,NO,,No,
MTL,0.517,0.51,0.987,0.508,NO,,No,
WSH,0.497,0.507,1.021,0.499,YES,Washington,Yes,WSH
TBL,0.51,0.506,1.012,0.495,NO,,Yes,TBL
PHI,0.504,0.505,1.002,0.504,NO,,Yes,PHI
STL,0.5,0.504,1.007,0.513,NO,,Yes,STL
WPG,0.506,0.503,0.988,0.471,NO,,No,
DET,0.513,0.502,0.996,0.502,NO,,No,
CHI,0.505,0.498,1.01,0.495,NO,,No,
NYI,0.495,0.497,1.01,0.496,NO,,No,
CGY,0.49,0.496,0.986,0.488,NO,,No,
BOS,0.491,0.494,1.002,0.502,NO,,No,
MIN,0.488,0.493,1.006,0.522,NO,,No,
FLA,0.487,0.49,1.016,0.499,NO,,No,
BUF,0.487,0.485,0.994,0.493,NO,,No,
NYR,0.473,0.481,1.015,0.493,NO,,No,
CBJ,0.476,0.481,0.987,0.491,NO,,No,
EDM,0.483,0.478,0.989,0.488,NO,,No,
ARI,0.478,0.471,1,0.544,NO,,No,
VAN,0.476,0.471,0.99,0.453,NO,,No,
OTT,0.476,0.469,1.006,0.504,NO,,No,
NJD,0.461,0.467,1.005,0.463,NO,,No,
COL,0.451,0.464,1.002,0.499,NO,,No,
