Rk,Tm,Season,CF,CA,Cfperc,FF,FA,Ffperc,oiSHperc,oiSVperc,PDO,oZSperc,dZSperc,FOwin,FOloss,Foperc,HIT,BLK,Playoff,ConfFinal
27,CAR,2007-08,4873,4372,52.7,3657,3316,52.4,9.3,89.6,98.9,53.7,46.3,2479,2539,49.4,1741,1056,0,0
30,DET,2007-08,4864,3361,59.1,3852,2652,59.2,8.9,90.8,99.6,60.5,39.5,2435,2136,53.3,1413,709,1,1
71,TOR,2007-08,4669,4457,51.2,3557,3392,51.2,9,89.3,98.3,52.8,47.2,2317,2336,49.8,1547,1065,0,0
84,NYR,2007-08,4598,3939,53.9,3576,2926,55,7.9,91.1,99.1,58.9,41.1,2309,2107,52.3,2137,1013,1,0
90,WSH,2007-08,4584,4078,52.9,3545,3073,53.6,9.4,90,99.4,53.4,46.6,2422,2312,51.2,1599,1005,1,0
96,OTT,2007-08,4560,4342,51.2,3404,3331,50.5,10.4,90.1,100.6,53.3,46.7,2423,2265,51.7,1802,1011,1,0
116,MTL,2007-08,4448,4987,47.1,3303,3644,47.5,10.8,91.7,102.5,48.4,51.6,2322,2417,49,2007,1343,1,0
122,NYI,2007-08,4427,4585,49.1,3271,3451,48.7,7.8,90.4,98.2,47.3,52.7,2355,2256,51.1,1613,1134,0,0
126,FLA,2007-08,4409,4687,48.5,3425,3707,48,8.2,92,100.3,49.5,50.5,2390,2507,48.8,1551,980,0,0
136,PHX,2007-08,4379,4530,49.2,3387,3512,49.1,8.3,91.1,99.4,50.3,49.7,2301,2431,48.6,1572,1018,0,0
149,SJS,2007-08,4314,3758,53.4,3356,2766,54.8,8.8,90.5,99.3,56.2,43.8,2179,2076,51.2,1789,992,1,0
151,LAK,2007-08,4289,4752,47.4,3291,3706,47,9.6,90,99.6,52,48,2196,2396,47.8,1652,1046,0,0
154,NJD,2007-08,4269,3869,52.5,3269,3039,51.8,8.4,91.4,99.8,54.4,45.6,2160,2126,50.4,1471,830,1,0
155,PHI,2007-08,4267,4696,47.6,3235,3523,47.9,10.3,91.3,101.6,46.9,53.1,2416,2483,49.3,1415,1173,1,1
157,NSH,2007-08,4255,4101,50.9,3308,3228,50.6,9.4,90.9,100.3,50.2,49.8,2406,2358,50.5,1454,873,1,0
161,BUF,2007-08,4243,4216,50.2,3296,3191,50.8,10.2,89.9,100.1,52.9,47.1,2245,2376,48.6,1488,1025,0,0
169,CGY,2007-08,4212,3927,51.8,3260,3163,50.8,9.8,90.4,100.2,52.2,47.8,2344,2389,49.5,1633,764,1,0
177,TBL,2007-08,4170,4235,49.6,3178,3174,50,9.2,88.5,97.8,52,48,2246,2284,49.6,1593,1061,0,0
178,CBJ,2007-08,4169,3851,52,3188,2965,51.8,8,90.7,98.7,49.9,50.1,2419,2209,52.3,1563,886,0,0
183,BOS,2007-08,4146,4175,49.8,3197,3304,49.2,8.8,91.4,100.3,48.8,51.2,2287,2369,49.1,1575,871,1,0
186,MIN,2007-08,4120,4273,49.1,3145,3357,48.4,9.9,91.5,101.5,45.9,54.1,2180,2429,47.3,1238,916,1,0
193,PIT,2007-08,4061,4683,46.4,3162,3554,47.1,10.6,91.6,102.2,49.1,50.9,2161,2526,46.1,1557,1129,1,1
194,DAL,2007-08,4054,3792,51.7,3079,2999,50.7,10.8,90.4,101.3,52.8,47.2,2177,2145,50.4,1619,793,1,1
198,VAN,2007-08,4033,4302,48.4,3137,3314,48.6,9.2,91.3,100.5,49.4,50.6,2219,2337,48.7,1232,988,0,0
202,EDM,2007-08,4003,4734,45.8,3030,3591,45.8,10.2,90.4,100.6,47.8,52.2,2323,2278,50.5,1130,1143,0,0
205,COL,2007-08,3941,4211,48.3,3074,3130,49.5,9.5,90.4,99.9,52.4,47.6,2148,2347,47.8,1168,1081,1,0
206,ANA,2007-08,3935,3834,50.7,3142,3114,50.2,8.8,92,100.8,52.6,47.4,2320,2305,50.2,1619,720,1,0
213,CHI,2007-08,3764,3895,49.1,2950,3004,49.5,10.2,90.1,100.3,52.3,47.7,2332,2124,52.3,1482,891,0,0
214,STL,2007-08,3759,4283,46.7,2959,3243,47.7,9.4,89.7,99.1,47.9,52.1,2390,2220,51.8,1705,1040,0,0
226,ATL,2007-08,3608,4706,43.4,2776,3640,43.3,9.7,90.5,100.2,43.4,56.6,2444,2262,51.9,1319,1066,0,0
6,DET,2008-09,5096,3752,57.6,3975,3023,56.8,9.7,89.5,99.2,55,45,2593,2120,55,1457,729,1,1
11,CAR,2008-09,5007,4629,52,3756,3435,52.2,8.8,91,99.7,54.3,45.7,2433,2309,51.3,1716,1194,1,1
13,WSH,2008-09,4974,4436,52.9,3803,3325,53.4,9.7,90.1,99.8,53.5,46.5,2467,2308,51.7,1662,1111,1,0
23,SJS,2008-09,4892,4011,54.9,3731,3043,55.1,9.3,91.1,100.4,55.5,44.5,2473,2123,53.8,2042,968,1,0
24,NYR,2008-09,4889,4340,53,3706,3383,52.3,7.5,91.3,98.8,56.7,43.3,2312,2235,50.8,2312,957,1,0
35,TOR,2008-09,4848,4790,50.3,3637,3551,50.6,9.4,88.5,97.9,54.5,45.5,2358,2346,50.1,1736,1239,0,0
51,CGY,2008-09,4756,4105,53.7,3651,3327,52.3,9.5,90,99.5,56,44,2424,2291,51.4,1531,778,1,0
62,NJD,2008-09,4689,4171,52.9,3625,3201,53.1,8.8,91.5,100.3,52.3,47.7,2359,2242,51.3,1448,970,1,0
73,MTL,2008-09,4646,4914,48.6,3391,3598,48.5,9.8,90.8,100.6,49.5,50.5,2467,2382,50.9,1974,1316,1,0
89,LAK,2008-09,4587,4375,51.2,3494,3335,51.2,8.4,90.2,98.7,52.6,47.4,2370,2189,52,2128,1040,0,0
98,CHI,2008-09,4531,3885,53.8,3542,3041,53.8,9.7,91.1,100.7,55.7,44.3,2193,2367,48.1,1518,844,1,1
105,PHI,2008-09,4498,4948,47.6,3357,3705,47.5,10.5,91.3,101.9,46.9,53.1,2379,2543,48.3,1712,1243,1,0
123,BUF,2008-09,4423,4607,49,3379,3524,48.9,9.6,91.1,100.8,50.8,49.2,2239,2484,47.4,1458,1083,0,0
124,NYI,2008-09,4416,5214,45.9,3227,3823,45.8,8.4,90.1,98.4,47.5,52.5,2180,2594,45.7,1828,1391,0,0
129,BOS,2008-09,4408,4363,50.3,3360,3313,50.4,10.9,92.5,103.3,50.5,49.5,2360,2266,51,1792,1050,1,0
134,FLA,2008-09,4395,4987,46.8,3318,3882,46.1,9.5,92.2,101.6,48.2,51.8,2291,2492,47.9,1562,1105,0,0
141,PIT,2008-09,4357,4722,48,3301,3442,49,10.8,90.6,101.5,52.1,47.9,2310,2395,49.1,1939,1280,1,1
144,ANA,2008-09,4334,4279,50.3,3464,3478,49.9,9.6,90.6,100.2,52.2,47.8,2299,2316,49.8,1758,801,1,0
145,DAL,2008-09,4332,4242,50.5,3382,3260,50.9,9.5,89.1,98.6,52.7,47.3,2119,2314,47.8,2076,982,0,0
148,OTT,2008-09,4324,4357,49.8,3259,3210,50.4,8.9,90.1,99,51.7,48.3,2357,2191,51.8,1923,1147,0,0
153,NSH,2008-09,4273,4352,49.5,3288,3317,49.8,8.7,90.5,99.2,48.8,51.2,2556,2340,52.2,1671,1035,0,0
156,VAN,2008-09,4266,4286,49.9,3228,3300,49.4,10.5,91.2,101.7,50.1,49.9,2410,2252,51.7,1292,986,1,0
164,CBJ,2008-09,4229,4129,50.6,3227,3107,50.9,9.2,90.2,99.5,51.6,48.4,2397,2283,51.2,1919,1022,1,0
165,EDM,2008-09,4229,4769,47,3214,3695,46.5,9.9,90.9,100.8,50.3,49.7,2281,2481,47.9,1393,1074,0,0
175,COL,2008-09,4184,4708,47.1,3187,3391,48.4,8,89.5,97.5,50.6,49.4,2199,2401,47.8,1462,1317,0,0
180,STL,2008-09,4151,4478,48.1,3235,3350,49.1,10,90.3,100.3,49.3,50.7,2291,2378,49.1,1611,1128,1,0
181,PHX,2008-09,4150,4808,46.3,3148,3621,46.5,8.8,90.3,99.1,50.5,49.5,2066,2531,44.9,1793,1187,0,0
182,MIN,2008-09,4147,4500,48,3165,3467,47.7,9.5,92.2,101.7,46.2,53.8,2223,2360,48.5,1468,1033,0,0
185,TBL,2008-09,4132,4747,46.5,3185,3643,46.6,8.8,90,98.8,48.6,51.4,2333,2318,50.2,1854,1104,0,0
192,ATL,2008-09,4069,4722,46.3,3155,3600,46.7,10.8,89.6,100.5,45.6,54.4,2487,2375,51.2,1380,1122,0,0
3,TOR,2009-10,5149,4697,52.3,3788,3479,52.1,7.9,89.3,97.1,55.2,44.8,2381,2303,50.8,1777,1218,0,0
