,Cfperc,Ffperc,PDO,Foperc,oiSHperc,oZSperc,Playoff,ConfFinal
0,0.527,0.524,0.989,0.494,0.093,0.537,0,0
1,0.591,0.592,0.996,0.533,0.089,0.605,1,1
2,0.512,0.512,0.983,0.498,0.09,0.528,0,0
3,0.539,0.55,0.991,0.523,0.079,0.589,1,0
4,0.529,0.536,0.994,0.512,0.094,0.534,1,0
5,0.512,0.505,1.006,0.517,0.104,0.533,1,0
6,0.471,0.475,1.025,0.49,0.108,0.484,1,0
7,0.491,0.487,0.982,0.511,0.078,0.473,0,0
8,0.485,0.48,1.003,0.488,0.082,0.495,0,0
9,0.492,0.491,0.994,0.486,0.083,0.503,0,0
10,0.534,0.548,0.993,0.512,0.088,0.562,1,0
11,0.474,0.47,0.996,0.478,0.096,0.52,0,0
12,0.525,0.518,0.998,0.504,0.084,0.544,1,0
13,0.476,0.479,1.016,0.493,0.103,0.469,1,1
14,0.509,0.506,1.003,0.505,0.094,0.502,1,0
15,0.502,0.508,1.001,0.486,0.102,0.529,0,0
16,0.518,0.508,1.002,0.495,0.098,0.522,1,0
17,0.496,0.5,0.978,0.496,0.092,0.52,0,0
18,0.52,0.518,0.987,0.523,0.08,0.499,0,0
19,0.498,0.492,1.003,0.491,0.088,0.488,1,0
20,0.491,0.484,1.015,0.473,0.099,0.459,1,0
21,0.464,0.471,1.022,0.461,0.106,0.491,1,1
22,0.517,0.507,1.013,0.504,0.108,0.528,1,1
23,0.484,0.486,1.005,0.487,0.092,0.494,0,0
24,0.458,0.458,1.006,0.505,0.102,0.478,0,0
25,0.483,0.495,0.999,0.478,0.095,0.524,1,0
26,0.507,0.502,1.008,0.502,0.088,0.526,1,0
27,0.491,0.495,1.003,0.523,0.102,0.523,0,0
28,0.467,0.477,0.991,0.518,0.094,0.479,0,0
29,0.434,0.433,1.002,0.519,0.097,0.434,0,0
30,0.576,0.568,0.992,0.55,0.097,0.55,1,1
31,0.52,0.522,0.997,0.513,0.088,0.543,1,1
32,0.529,0.534,0.998,0.517,0.097,0.535,1,0
33,0.549,0.551,1.004,0.538,0.093,0.555,1,0
34,0.53,0.523,0.988,0.508,0.075,0.567,1,0
35,0.503,0.506,0.979,0.501,0.094,0.545,0,0
36,0.537,0.523,0.995,0.514,0.095,0.56,1,0
37,0.529,0.531,1.003,0.513,0.088,0.523,1,0
38,0.486,0.485,1.006,0.509,0.098,0.495,1,0
39,0.512,0.512,0.987,0.52,0.084,0.526,0,0
40,0.538,0.538,1.007,0.481,0.097,0.557,1,1
41,0.476,0.475,1.019,0.483,0.105,0.469,1,0
42,0.49,0.489,1.008,0.474,0.096,0.508,0,0
43,0.459,0.458,0.984,0.457,0.084,0.475,0,0
44,0.503,0.504,1.033,0.51,0.109,0.505,1,0
45,0.468,0.461,1.016,0.479,0.095,0.482,0,0
46,0.48,0.49,1.015,0.491,0.108,0.521,1,1
47,0.503,0.499,1.002,0.498,0.096,0.522,1,0
48,0.505,0.509,0.986,0.478,0.095,0.527,0,0
49,0.498,0.504,0.99,0.518,0.089,0.517,0,0
50,0.495,0.498,0.992,0.522,0.087,0.488,0,0
51,0.499,0.494,1.017,0.517,0.105,0.501,1,0
52,0.506,0.509,0.995,0.512,0.092,0.516,1,0
53,0.47,0.465,1.008,0.479,0.099,0.503,0,0
54,0.471,0.484,0.975,0.478,0.08,0.506,0,0
55,0.481,0.491,1.003,0.491,0.1,0.493,1,0
56,0.463,0.465,0.991,0.449,0.088,0.505,0,0
