exclusive,price_eur,title,price_cen
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
Yes,"24,3,10,14,19,29,39,69","24/24 20Go,2h,24/24,2h 1Go,24/24 5Go France,24/24 5Go Europe,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
No,"10,17,19,32,39,49,89","2h,24/24,2h 1Go,24/24 3Go,24/24 5Go,24/24 10Go,24/24 40Go","€99,€99,€99,€99,€99,€99,€99"
